"PARAM" "OV" "PCV"
0 320 0.496738499285143
0.1 315 0.341759897246349
0.2 315 0.313157419023223
0.3 315 0.341759897246349
0.4 315 0.313157419023223
0.5 315 0.313157419023223
0.6 310 0.287636189895477
0.7 310 0.232704742874856
0.8 310 0.232704742874856
0.9 310 0.232704742874856
1 300 0.180960224644748
1.1 300 0.180960224644748
1.2 300 0.180960224644748
1.3 300 0.144136171398926
1.4 300 0.122250857891912
1.5 300 0.122250857891912
1.6 285 0.084157708028225
1.7 285 0.0766819820318974
1.8 285 0.0716080134471577
1.9 285 0.0441270400822161
2 285 0.0441270400822161
2.1 285.000000000002 0.0441270400822161
2.2 275 0.0488135113343561
2.3 275 0.0187043746691526
2.4 275 0.0290953126854272
2.5 275 0.0187043746691526
2.6 275 0.00759784991680856
2.7 275 0.00759784991680856
2.8 275 0.00871916361446989
2.9 275 0.00759784991680856
3 265 0.0106213284706715
3.1 265 0.00400951641646852
3.2 265 0.00400951641646852
3.3 260 0.00159459549380625
3.4 260 0.00427095680958478
3.5 260 0.00441035709357018
3.6 260 0.00159459549380625
3.7 260 0.00159459549380625
3.8 255 2.50201089989632e-05
3.9 255 0.000574551235472121
4 255 2.50201089989632e-05
4.1 255 2.50201089989632e-05
4.2 255 2.50201089989632e-05
4.3 255 2.50201089989632e-05
4.4 255 2.50201089989632e-05
4.5 255 2.50201089989632e-05
4.6 255 2.50201089989632e-05
4.7 255 2.50201089989632e-05
4.8 255 2.50201089989632e-05
4.9 250 0.000123890435453133
5 245 5.83260901909632e-07
5.1 245 5.83260901909632e-07
5.2 245 5.83260901909632e-07
5.3 245 5.83260901909632e-07
5.4 245 5.83260901909632e-07
5.5 245 5.83260901909632e-07
5.6 245 5.83260901909632e-07
5.7 245 5.83260901909632e-07
5.8 240 1.16334670355878e-05
5.9 235 1.63702460809212e-07
6 235 3.70512576786108e-06
6.1 235 1.63702460809212e-07
6.2 235 1.63702460809212e-07
6.3 235 -2.22044604925031e-16
6.4 235 -2.22044604925031e-16
6.5 235 4.77188138225948e-07
6.6 235 -2.22044604925031e-16
6.7 235 -2.22044604925031e-16
6.8 235 -2.22044604925031e-16
6.9 235 -2.22044604925031e-16
7 235 -2.22044604925031e-16
7.1 235 -2.22044604925031e-16
7.2 235 -2.22044604925031e-16
7.3 235 -2.22044604925031e-16
7.4 235 -2.22044604925031e-16
7.5 235 -2.22044604925031e-16
7.6 235 -2.22044604925031e-16
7.7 235 -2.22044604925031e-16
7.8 235 -2.22044604925031e-16
7.9 235 -2.22044604925031e-16
8 235 -2.22044604925031e-16
8.1 235 -2.22044604925031e-16
8.2 235 -2.22044604925031e-16
8.3 235 -2.22044604925031e-16
8.4 235 -2.22044604925031e-16
8.5 235 -2.22044604925031e-16
8.6 235 -2.22044604925031e-16
8.7 235 -2.22044604925031e-16
8.8 235 -2.22044604925031e-16
8.9 235 -2.22044604925031e-16
9 235 -2.22044604925031e-16
9.1 235 -2.22044604925031e-16
9.2 235 -2.22044604925031e-16
9.3 235 -2.22044604925031e-16
9.4 235 -2.22044604925031e-16
9.5 235 -2.22044604925031e-16
9.6 235 -2.22044604925031e-16
9.7 235 -2.22044604925031e-16
9.8 235 -2.22044604925031e-16
9.9 235 -2.22044604925031e-16
10 235 -2.22044604925031e-16
10.1 235 -2.22044604925031e-16
10.2 235 -2.22044604925031e-16
10.3 235 -2.22044604925031e-16
10.4 235 -2.22044604925031e-16
10.5 235 -2.22044604925031e-16
10.6 235 -2.22044604925031e-16
10.7 235 -2.22044604925031e-16
10.8 235 -2.22044604925031e-16
10.9 235 -2.22044604925031e-16
11 235 -2.22044604925031e-16
11.1 235 -2.22044604925031e-16
11.2 235 -2.22044604925031e-16
11.3 235 -2.22044604925031e-16
11.4 235 -2.22044604925031e-16
11.5 235 -2.22044604925031e-16
11.6 235 -2.22044604925031e-16
11.7 235 -2.22044604925031e-16
11.8 235 -2.22044604925031e-16
11.9 235 -2.22044604925031e-16
12 235 -2.22044604925031e-16
12.1 235 -2.22044604925031e-16
12.2 235 -2.22044604925031e-16
12.3 235 -2.22044604925031e-16
12.4 235 -2.22044604925031e-16
12.5 235 -2.22044604925031e-16
12.6 235 -2.22044604925031e-16
12.7 235 -2.22044604925031e-16
12.8 235 -2.22044604925031e-16
12.9 235 -2.22044604925031e-16
13 235 -2.22044604925031e-16
13.1 235 -2.22044604925031e-16
13.2 235 -2.22044604925031e-16
13.3 235 -2.22044604925031e-16
13.4 235 -2.22044604925031e-16
13.5 235 -2.22044604925031e-16
13.6 235 -2.22044604925031e-16
13.7 235 -2.22044604925031e-16
13.8 235 -2.22044604925031e-16
13.9 235 -2.22044604925031e-16
14 235 -2.22044604925031e-16
14.1 235 -2.22044604925031e-16
14.2 235 -2.22044604925031e-16
14.3 235 -2.22044604925031e-16
14.4 235 -2.22044604925031e-16
14.5 235 -2.22044604925031e-16
14.6 235 -2.22044604925031e-16
14.7 235 -2.22044604925031e-16
14.8 235 -2.22044604925031e-16
14.9 235 -2.22044604925031e-16
15 235 -2.22044604925031e-16
15.1 235 -2.22044604925031e-16
15.2 235 -2.22044604925031e-16
15.3 235 -2.22044604925031e-16
15.4 235 -2.22044604925031e-16
15.5 235 -2.22044604925031e-16
15.6 235 -2.22044604925031e-16
15.7 235 -2.22044604925031e-16
15.8 235 -2.22044604925031e-16
15.9 235 -2.22044604925031e-16
16 235 -2.22044604925031e-16
16.1 235 -2.22044604925031e-16
16.2 235 -2.22044604925031e-16
16.3 235 -2.22044604925031e-16
16.4 235 -2.22044604925031e-16
16.5 235 -2.22044604925031e-16
16.6 235 -2.22044604925031e-16
16.7 235 -2.22044604925031e-16
16.8 235 -2.22044604925031e-16
16.9 235 -2.22044604925031e-16
17 235 -2.22044604925031e-16
17.1 235 -2.22044604925031e-16
17.2 235 -2.22044604925031e-16
17.3 235 -2.22044604925031e-16
17.4 235 -2.22044604925031e-16
17.5 235 -2.22044604925031e-16
17.6 235 -2.22044604925031e-16
17.7 235 -2.22044604925031e-16
17.8 235 -2.22044604925031e-16
17.9 235 -2.22044604925031e-16
18 235 -2.22044604925031e-16
18.1 235 -2.22044604925031e-16
18.2 235 -2.22044604925031e-16
18.3 235 -2.22044604925031e-16
18.4 235 -2.22044604925031e-16
18.5 235 -2.22044604925031e-16
18.6 235 -2.22044604925031e-16
18.7 235 -2.22044604925031e-16
18.8 235 -2.22044604925031e-16
18.9 235 -2.22044604925031e-16
19 235 -2.22044604925031e-16
19.1 235 -2.22044604925031e-16
19.2 235 -2.22044604925031e-16
19.3 235 -2.22044604925031e-16
19.4 235 -2.22044604925031e-16
19.5 235 -2.22044604925031e-16
19.6 235 -2.22044604925031e-16
19.7 235 -2.22044604925031e-16
19.8 235 -2.22044604925031e-16
19.9 235 -2.22044604925031e-16
